127.0.0.1 - - [07/Aug/2021:18:37:46 +0800] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [07/Aug/2021:18:37:47 +0800] "GET /blog_admin/ HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [07/Aug/2021:18:37:48 +0800] "GET /blog_admin/admin/login HTTP/1.1" 200 2866
0:0:0:0:0:0:0:1 - - [07/Aug/2021:18:37:48 +0800] "GET /blog_admin/resource/css/blog.css HTTP/1.1" 200 2424
0:0:0:0:0:0:0:1 - - [07/Aug/2021:18:37:48 +0800] "GET /blog_admin/resource/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [07/Aug/2021:18:37:48 +0800] "GET /blog_admin/resource/css/signin.css HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [07/Aug/2021:18:37:48 +0800] "GET /blog_admin/resource/js/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [07/Aug/2021:18:37:48 +0800] "GET /blog_admin/resource/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [07/Aug/2021:18:37:57 +0800] "GET /blog_admin/admin/login HTTP/1.1" 200 2866
0:0:0:0:0:0:0:1 - - [07/Aug/2021:18:37:57 +0800] "GET /blog_admin/resource/css/blog.css HTTP/1.1" 200 2424
0:0:0:0:0:0:0:1 - - [07/Aug/2021:18:37:57 +0800] "GET /blog_admin/resource/css/signin.css HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [07/Aug/2021:18:37:57 +0800] "GET /blog_admin/resource/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [07/Aug/2021:18:37:57 +0800] "GET /blog_admin/resource/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [07/Aug/2021:18:37:57 +0800] "GET /blog_admin/resource/js/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [07/Aug/2021:18:37:57 +0800] "GET /blog_admin/resource/image/favicon.ico HTTP/1.1" 200 5430
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:02:05 +0800] "GET /blog_admin/admin/login HTTP/1.1" 200 2869
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:02:05 +0800] "GET /blog_admin/resource/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:02:05 +0800] "GET /blog_admin/resource/css/blog.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:02:05 +0800] "GET /blog_admin/resource/css/signin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:02:05 +0800] "GET /blog_admin/resource/js/jquery-3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:02:05 +0800] "GET /blog_admin/resource/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:03:46 +0800] "POST /blog_admin/admin/loginsubmit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:03:46 +0800] "GET /blog_admin/admin/index HTTP/1.1" 200 8577
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:03:46 +0800] "GET /blog_admin/resource/static/h-ui.admin/css/H-ui.admin.css HTTP/1.1" 200 7185
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:03:46 +0800] "GET /blog_admin/resource/static/h-ui/css/H-ui.min.css HTTP/1.1" 200 152330
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:03:46 +0800] "GET /blog_admin/resource/static/h-ui.admin/skin/default/skin.css HTTP/1.1" 200 1193
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:03:46 +0800] "GET /blog_admin/resource/lib/Hui-iconfont/1.0.8/iconfont.css HTTP/1.1" 200 16919
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:03:46 +0800] "GET /blog_admin/resource/static/h-ui.admin/css/style.css HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:03:46 +0800] "GET /blog_admin/resource/lib/jquery/1.9.1/jquery.min.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:03:46 +0800] "GET /blog_admin/resource/lib/layer/2.4/layer.js HTTP/1.1" 200 19843
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:03:46 +0800] "GET /blog_admin/resource/static/h-ui/js/H-ui.min.js HTTP/1.1" 200 149504
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:03:46 +0800] "GET /blog_admin/resource/lib/jquery.contextmenu/jquery.contextmenu.r2.js HTTP/1.1" 200 4441
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:03:46 +0800] "GET /blog_admin/resource/static/h-ui.admin/js/H-ui.admin.js HTTP/1.1" 200 8791
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:03:46 +0800] "GET /blog_admin/resource/lib/layer/2.4/skin/layer.css HTTP/1.1" 200 14048
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:03:46 +0800] "GET /blog_admin/resource/lib/Hui-iconfont/1.0.8/iconfont.eot? HTTP/1.1" 200 134724
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:03:46 +0800] "GET /blog_admin/resource/static/h-ui.admin/skin/default/icon_arrow.png HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:03:46 +0800] "GET /blog_admin/resource/static/h-ui.admin/images/acrossTab/acrossTab-2.png HTTP/1.1" 200 5710
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:03:46 +0800] "GET /blog_admin/resource/static/h-ui.admin/images/loading.gif HTTP/1.1" 200 8476
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:03:46 +0800] "GET /blog_admin/resource/html/welcome.jsp HTTP/1.1" 200 1859
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:03:46 +0800] "GET /blog_admin/resource/image/bg3.jpg HTTP/1.1" 200 1080500
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:03:56 +0800] "GET /blog_admin/user/queryuse HTTP/1.1" 200 7159
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:04:00 +0800] "GET /blog_admin/user/queryuse HTTP/1.1" 200 7159
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:04:00 +0800] "GET /blog_admin/resource/lib/My97DatePicker/4.8/WdatePicker.js HTTP/1.1" 200 10235
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:04:00 +0800] "GET /blog_admin/resource/lib/datatables/1.10.0/jquery.dataTables.min.js HTTP/1.1" 200 75893
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:04:00 +0800] "GET /blog_admin/resource/lib/laypage/1.2/laypage.js HTTP/1.1" 200 3673
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:04:00 +0800] "GET /blog_admin/resource/lib/My97DatePicker/4.8/skin/WdatePicker.css HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:04:00 +0800] "GET /blog_admin/resource/static/h-ui/images/dataTable/sort_both.png HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:04:00 +0800] "GET /blog_admin/resource/static/h-ui/images/dataTable/sort_desc.png HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:04:07 +0800] "GET /blog_admin/article/articlemana HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Aug/2021:20:04:11 +0800] "GET /blog_admin/article/articlemana HTTP/1.1" 200 26082
